model,MAE,RMSE,R2
naive_mean_revenue,97390197.1958481,156214441.07577887,-0.0006430540235244919
linear_raw_revenue,44593931.3277768,77371266.73458555,0.754531233075532
linear_log_revenue_expm1_back,3.425435700557384e+48,1.061885067172789e+50,-4.6237234823100613e+83
rf_raw_revenue_300,34945351.632969126,62878607.9078024,0.8378777349438515
